age,sexe,taux,situationFamiliale,nbEnfantsAcharge,2eme voiture,immatriculation
25,M,802,M,1,FALSE,5846 ZL 21
25,M,937,M,1,FALSE,3689 EY 67
25,M,1357,M,1,FALSE,9499 VP 28
25,M,851,M,1,FALSE,5642 TP 66
25,M,786,M,1,FALSE,7100 RJ 58
25,M,1087,M,1,FALSE,404 TJ 68
25,M,410,M,1,FALSE,2172 VL 37
25,M,435,M,1,FALSE,9145 YA 95
25,M,533,M,1,FALSE,534 ZZ 71
25,M,1366,M,1,FALSE,6970 OE 64
25,M,157,M,1,FALSE,4021 OH 94
25,M,1352,M,1,FALSE,5007 PB 94
25,M,1249,M,1,FALSE,8155 BX 25
25,M,187,M,1,FALSE,7439 RL 38
25,M,163,M,1,FALSE,5990 BS 93
25,M,553,M,1,FALSE,7690 CW 88
25,M,409,M,1,FALSE,5523 MU 78
25,M,496,M,1,FALSE,7846 TB 57
25,M,948,M,1,FALSE,8349 NO 20
25,M,205,M,1,FALSE,4532 GN 96
25,M,471,M,1,FALSE,3907 PV 51
25,M,201,M,1,FALSE,9032 QM 70
25,M,202,M,1,FALSE,6213 OT 97
25,M,240,M,1,FALSE,9490 MG 22
25,M,504,M,1,FALSE,2470 DN 46
25,M,1220,M,1,FALSE,9065 FO 67
25,M,428,M,1,FALSE,2303 PX 35
25,M,1300,M,1,FALSE,5028 QC 51
25,M,1371,M,1,FALSE,7070 IX 49
25,M,411,M,1,FALSE,6248 XW 97
25,M,1214,M,1,FALSE,1001 UA 96
25,M,402,M,1,FALSE,2215 YT 89
25,M,532,M,1,FALSE,9711 LQ 90
25,M,209,M,1,FALSE,1375 IT 32
25,M,440,M,1,FALSE,2516 KK 86
25,M,597,M,1,FALSE,5519 ZG 62
25,M,415,M,1,FALSE,9727 BU 31
25,M,501,M,1,FALSE,8115 SB 24
25,M,837,M,1,FALSE,7220 LT 95
25,M,1312,M,1,FALSE,4331 QK 15
25,M,1092,M,1,FALSE,4036 JJ 81
25,M,803,M,1,FALSE,3639 DY 61
25,M,584,M,1,FALSE,2292 MZ 15
25,M,1212,M,1,FALSE,1228 KB 91
25,M,1071,M,1,FALSE,4812 RT 36
25,M,402,M,1,FALSE,2877 IG 41
25,M,430,M,1,FALSE,4644 EC 92
25,M,188,M,1,FALSE,5605 NJ 93
25,M,217,M,1,FALSE,4617 JN 78
25,M,845,M,1,FALSE,9150 PT 91
25,M,490,M,1,FALSE,9209 VD 96
25,M,590,M,1,FALSE,7117 BD 32
25,M,218,M,1,FALSE,5937 MA 25
25,M,211,M,1,FALSE,2842 ZM 28
25,M,458,M,1,FALSE,6267 JY 94
25,M,483,M,1,FALSE,582 SK 27
25,M,151,M,1,FALSE,6302 UF 91
25,M,201,M,1,FALSE,370 SS 95
25,M,429,M,1,FALSE,2246 LP 68
25,M,198,M,1,FALSE,1014 MX 51
25,M,175,M,1,FALSE,8213 PE 51
25,M,569,M,1,FALSE,1002 HS 21
25,M,423,M,1,FALSE,1096 LO 50
25,M,744,M,1,FALSE,5365 LE 91
25,M,1340,M,1,FALSE,4162 DE 29
25,M,466,M,1,FALSE,7441 HY 60
25,M,1078,M,1,FALSE,8195 AP 32
25,M,163,M,1,FALSE,7044 LW 78
25,M,150,M,1,FALSE,1101 EE 94
25,M,1297,M,1,FALSE,3379 IO 39
25,M,881,M,1,FALSE,2104 NN 66
25,M,431,M,1,FALSE,5362 II 15
25,M,541,M,1,FALSE,2149 OH 57
25,M,187,M,1,FALSE,2651 UL 49
25,M,499,M,1,FALSE,1012 PU 68
25,M,455,M,1,FALSE,6700 IH 19
25,M,1091,M,1,FALSE,2573 CG 24
25,M,229,M,1,FALSE,890 XO 75
25,M,197,M,1,FALSE,3781 ZR 23
25,M,193,M,1,FALSE,33 UZ 26
25,M,498,M,1,FALSE,9610 KI 32
25,M,446,M,1,FALSE,2387 DT 14
25,M,821,M,1,FALSE,2408 FM 69
25,M,964,M,1,FALSE,9260 TZ 25
25,M,508,M,1,FALSE,1018 HL 78
25,M,403,M,1,FALSE,7545 LL 83
25,M,536,M,1,FALSE,5416 QG 98
25,M,830,M,1,FALSE,7374 MB 98
25,M,210,M,1,FALSE,1903 BJ 15
25,M,465,M,1,FALSE,9746 CB 58
25,M,406,M,1,FALSE,5018 LB 47
25,M,593,M,1,FALSE,2555 QH 16
25,M,886,M,1,FALSE,7204 AN 33
25,M,208,M,1,FALSE,3087 ON 26
25,M,833,M,1,FALSE,4952 JJ 28
25,M,172,M,1,FALSE,2976 LB 71
25,M,851,M,1,FALSE,27 HR 74
25,M,1186,M,1,FALSE,5804 MX 96
25,M,507,M,1,FALSE,1912 HI 41
25,M,990,M,1,FALSE,9298 WI 90
25,M,190,M,1,FALSE,770 GC 43
