immatriculation,nom,couleur,occasion
9037 LB 45,A2 1.4,noir,FALSE
528 NN 51,A2 1.4,noir,FALSE
3512 EK 20,A2 1.4,noir,FALSE
9191 YR 57,A2 1.4,noir,FALSE
7642 RX 34,A2 1.4,noir,FALSE
5564 QX 23,A2 1.4,noir,FALSE
1353 KG 40,A2 1.4,noir,FALSE
789 JM 61,A2 1.4,noir,FALSE
1301 JK 23,A2 1.4,noir,FALSE
6659 EY 41,A2 1.4,noir,FALSE
9521 UF 67,A2 1.4,noir,FALSE
4326 AA 63,A2 1.4,noir,FALSE
3423 CY 71,A2 1.4,noir,FALSE
4263 GK 69,A2 1.4,noir,FALSE
4695 UH 71,A2 1.4,noir,FALSE
4406 GA 94,A2 1.4,noir,FALSE
4738 IR 94,A2 1.4,noir,FALSE
407 DI 77,A2 1.4,noir,FALSE
7767 ID 12,A2 1.4,noir,FALSE
9273 BE 39,A2 1.4,noir,FALSE
7185 KY 81,A2 1.4,noir,FALSE
8010 LR 22,A2 1.4,noir,FALSE
6471 JL 84,A2 1.4,noir,FALSE
211 WM 68,A2 1.4,noir,FALSE
4035 TD 72,A2 1.4,noir,FALSE
4490 LI 26,A2 1.4,noir,FALSE
3555 KC 96,A2 1.4,noir,FALSE
8396 UQ 58,A2 1.4,noir,FALSE
283 CN 92,A2 1.4,noir,FALSE
5935 KS 15,A2 1.4,noir,FALSE
3617 GX 63,A2 1.4,noir,FALSE
2317 UB 33,A2 1.4,noir,FALSE
6665 QU 15,A2 1.4,noir,FALSE
4761 IO 34,A2 1.4,noir,FALSE
1886 NT 34,A2 1.4,noir,FALSE
6984 QL 57,A2 1.4,noir,FALSE
2452 BX 87,A2 1.4,noir,FALSE
4237 CU 14,A2 1.4,noir,FALSE
1099 TO 28,A2 1.4,noir,FALSE
9074 VD 70,A2 1.4,noir,FALSE
8012 RS 55,A2 1.4,noir,FALSE
1787 NB 47,A2 1.4,noir,FALSE
6980 HD 26,A2 1.4,noir,FALSE
3461 YM 85,A2 1.4,noir,FALSE
9474 EU 84,A2 1.4,noir,FALSE
8526 ZD 55,A2 1.4,noir,FALSE
7983 FZ 71,A2 1.4,noir,FALSE
117 EX 18,A2 1.4,noir,FALSE
2052 OK 12,A2 1.4,noir,FALSE
8690 CE 41,A2 1.4,noir,FALSE
189 LS 43,A2 1.4,noir,FALSE
9045 JW 17,A2 1.4,noir,FALSE
6634 DF 12,A2 1.4,noir,FALSE
988 XR 23,A2 1.4,noir,FALSE
1861 KH 10,A2 1.4,noir,FALSE
